container,index,name,offset,size_bytes,range_valid,classification
main.13.com.ea.gp.fifaworld.obb,111,data\ant\pc\Niscbac\30b80b6e-f3b2-45bb-b7cc-74d62bb1442e.cbac,11862976,258402,True,
main.13.com.ea.gp.fifaworld.obb,112,data\ant\pc\Niscbac\35ab0b1c-08b2-49b2-bda6-bb83f8558d13.cbac,12121408,6567,True,
main.13.com.ea.gp.fifaworld.obb,113,data\ant\pc\Niscbac\36cd0894-414c-410f-89d4-d143164a6a04.cbac,12128000,30279,True,
main.13.com.ea.gp.fifaworld.obb,114,data\ant\pc\Niscbac\3763e7f4-f9db-4d6a-b84d-6d9851e36b2c.cbac,12158336,597070,True,
main.13.com.ea.gp.fifaworld.obb,115,data\ant\pc\Niscbac\37db1ec0-0128-47fe-963c-71467d4d80a8.cbac,12755456,629317,True,
main.13.com.ea.gp.fifaworld.obb,116,data\ant\pc\Niscbac\387c6e68-0923-4983-b4e3-400ec19aca62.cbac,13384832,6542,True,
main.13.com.ea.gp.fifaworld.obb,117,data\ant\pc\Niscbac\389d217f-37ce-4b81-874f-df2497b8079e.cbac,13391424,249401,True,
main.13.com.ea.gp.fifaworld.obb,118,data\ant\pc\Niscbac\38d0b207-0170-45ba-98cb-7ed2eb22edd2.cbac,13640832,713,True,
main.13.com.ea.gp.fifaworld.obb,119,data\ant\pc\Niscbac\38dbff6d-136b-4ce7-9799-3f21705b59d4.cbac,13641600,6544,True,
main.13.com.ea.gp.fifaworld.obb,120,data\ant\pc\Niscbac\3905dd38-4c2a-49bc-ac35-bddacbeee009.cbac,13648192,24459,True,
main.13.com.ea.gp.fifaworld.obb,121,data\ant\pc\Niscbac\39bee4d2-a7cb-40b2-83e8-6756654ad799.cbac,13672704,387442,True,
main.13.com.ea.gp.fifaworld.obb,122,data\ant\pc\Niscbac\39df17d1-8910-4077-96e8-7b87a0840291.cbac,14060160,495151,True,
main.13.com.ea.gp.fifaworld.obb,123,data\ant\pc\Niscbac\3a1e1a49-f991-4d1b-9c71-785dadccb766.cbac,14555328,423586,True,
main.13.com.ea.gp.fifaworld.obb,124,data\ant\pc\Niscbac\3a7a0bf6-e64f-417f-94bc-55d6f4d9d142.cbac,14978944,416801,True,
main.13.com.ea.gp.fifaworld.obb,125,data\ant\pc\Niscbac\3af1787c-24b8-4a3e-b251-67a975b9c64c.cbac,15395776,240066,True,
main.13.com.ea.gp.fifaworld.obb,126,data\ant\pc\Niscbac\3be94ddd-30a4-4f70-8569-712791755558.cbac,15635904,25640,True,
main.13.com.ea.gp.fifaworld.obb,127,data\ant\pc\Niscbac\3cc0e5cd-9d4a-4897-ab01-0dabfca60c1b.cbac,15661568,21336,True,
main.13.com.ea.gp.fifaworld.obb,128,data\ant\pc\Niscbac\3cd82899-efe9-42ae-a062-c413a53d7454.cbac,15682944,96464,True,
main.13.com.ea.gp.fifaworld.obb,129,data\ant\pc\Niscbac\3d8a96c8-9409-4c29-a7d8-65c1a483cff0.cbac,15779456,221458,True,
main.13.com.ea.gp.fifaworld.obb,130,data\ant\pc\Niscbac\3db7d741-7500-4f7f-b74d-05ca571871f6.cbac,16000960,441814,True,
main.13.com.ea.gp.fifaworld.obb,131,data\ant\pc\Niscbac\3f47fc2a-0968-4941-882b-5b90a29b2cf5.cbac,16442816,190174,True,
main.13.com.ea.gp.fifaworld.obb,132,data\ant\pc\Niscbac\3fa00cfd-648c-4294-ae00-23a493616c39.cbac,16633024,139533,True,
main.13.com.ea.gp.fifaworld.obb,133,data\ant\pc\Niscbac\3fc5043f-0cb3-4494-a389-ae3de0529d08.cbac,16772608,6570,True,
main.13.com.ea.gp.fifaworld.obb,134,data\ant\pc\Niscbac\400ec970-05cf-4356-a28b-4329bd1adce5.cbac,16779200,6543,True,
main.13.com.ea.gp.fifaworld.obb,135,data\ant\pc\Niscbac\405a0aa0-9c54-46e4-9c4d-ff4be13dbb05.cbac,16785792,314492,True,
main.13.com.ea.gp.fifaworld.obb,136,data\ant\pc\Niscbac\40abe6cb-1476-40ca-b3c6-9e52f2c353de.cbac,17100288,488599,True,
main.13.com.ea.gp.fifaworld.obb,137,data\ant\pc\Niscbac\40ea14ab-b737-4725-8e52-b790a3f90e14.cbac,17588928,270675,True,
main.13.com.ea.gp.fifaworld.obb,138,data\ant\pc\Niscbac\41a74f52-cdd9-47d6-9cce-1a8adea0d502.cbac,17859648,6541,True,
main.13.com.ea.gp.fifaworld.obb,139,data\ant\pc\Niscbac\41ce296a-c56b-4037-8d49-86aa63ae0fcd.cbac,17866240,713,True,
main.13.com.ea.gp.fifaworld.obb,140,data\ant\pc\Niscbac\43350981-f92f-4f28-bcce-dd9c39c95f1a.cbac,17867008,375444,True,
main.13.com.ea.gp.fifaworld.obb,141,data\ant\pc\Niscbac\4419a725-e5b0-47fd-a2f5-3f7d4a063377.cbac,18242496,38939,True,
main.13.com.ea.gp.fifaworld.obb,142,data\ant\pc\Niscbac\44642015-eeef-47b8-b578-0904bdec5f88.cbac,18281472,229939,True,
main.13.com.ea.gp.fifaworld.obb,143,data\ant\pc\Niscbac\448a2ee8-c257-4f66-8498-6b2a98885d11.cbac,18511424,109101,True,
main.13.com.ea.gp.fifaworld.obb,144,data\ant\pc\Niscbac\46222bd7-c3b7-4c62-a827-13bbc7e3f1e9.cbac,18620544,321603,True,
main.13.com.ea.gp.fifaworld.obb,145,data\ant\pc\Niscbac\47036ad2-7fae-4218-9105-f27f846b7080.cbac,18942208,194991,True,
main.13.com.ea.gp.fifaworld.obb,146,data\ant\pc\Niscbac\489a8e5f-3f8f-4b15-bf0a-d2e6d4f74761.cbac,19137216,71209,True,
main.13.com.ea.gp.fifaworld.obb,147,data\ant\pc\Niscbac\48d9bac0-362c-41bc-9be9-d9259d0771ce.cbac,19208448,410401,True,
main.13.com.ea.gp.fifaworld.obb,148,data\ant\pc\Niscbac\48dd76e5-8dec-4ea5-9d90-2882e496e7fd.cbac,19618880,350652,True,
main.13.com.ea.gp.fifaworld.obb,149,data\ant\pc\Niscbac\4a5c9472-eb6b-45e9-b239-29324807818f.cbac,19969536,354692,True,
main.13.com.ea.gp.fifaworld.obb,150,data\ant\pc\Niscbac\4bac8c95-d979-4c85-a851-8e7412bd0d3f.cbac,20324288,71047,True,
main.13.com.ea.gp.fifaworld.obb,151,data\ant\pc\Niscbac\4c72faf8-57f3-41d9-98aa-964a41664248.cbac,20395392,5606,True,
main.13.com.ea.gp.fifaworld.obb,152,data\ant\pc\Niscbac\4cd67b9d-18c5-4ad9-9d61-30fb325d9c64.cbac,20401024,137108,True,
main.13.com.ea.gp.fifaworld.obb,153,data\ant\pc\Niscbac\4cee60f6-6215-4aeb-8189-9d022ca1daba.cbac,20538176,21629,True,
main.13.com.ea.gp.fifaworld.obb,154,data\ant\pc\Niscbac\4d467f67-7423-4786-b0a1-cac0dab12fee.cbac,20559808,532577,True,
main.13.com.ea.gp.fifaworld.obb,155,data\ant\pc\Niscbac\4d924a2c-709e-4af7-8fd6-dd4321416ba6.cbac,21092416,365607,True,
main.13.com.ea.gp.fifaworld.obb,156,data\ant\pc\Niscbac\4dc32e62-60db-4957-8d8a-82540204fd5d.cbac,21458048,6566,True,
main.13.com.ea.gp.fifaworld.obb,157,data\ant\pc\Niscbac\4e17078c-d647-42de-9ff9-8883b9c79efc.cbac,21464640,131737,True,
main.13.com.ea.gp.fifaworld.obb,158,data\ant\pc\Niscbac\4e8d79e7-1a20-4949-9ef8-71c31f887b9d.cbac,21596416,26000,True,
main.13.com.ea.gp.fifaworld.obb,159,data\ant\pc\Niscbac\4f5cc9f5-e957-41c0-96da-e595d96c02f6.cbac,21622464,52060,True,
main.13.com.ea.gp.fifaworld.obb,160,data\ant\pc\Niscbac\50f8f350-dc1d-401d-99da-65bf6f4eec2f.cbac,21674560,489761,True,
main.13.com.ea.gp.fifaworld.obb,161,data\ant\pc\Niscbac\51a2c69e-d06f-4081-ab5a-6f01b32d2a62.cbac,22164352,117597,True,
main.13.com.ea.gp.fifaworld.obb,162,data\ant\pc\Niscbac\51ff7e90-f4c3-4b64-b78f-c75ad6dfaa09.cbac,22281984,27120,True,
main.13.com.ea.gp.fifaworld.obb,163,data\ant\pc\Niscbac\52e755b8-f6dd-41f0-b0e5-1183c166b10d.cbac,22309120,79618,True,
main.13.com.ea.gp.fifaworld.obb,164,data\ant\pc\Niscbac\534584f6-6258-418a-86e9-001e38461312.cbac,22388800,27090,True,
main.13.com.ea.gp.fifaworld.obb,165,data\ant\pc\Niscbac\53a23466-dd85-47b5-a763-bb9d7a5a6f89.cbac,22415936,522723,True,
main.13.com.ea.gp.fifaworld.obb,166,data\ant\pc\Niscbac\5414417e-7d19-46d0-90fd-a4fc267acc17.cbac,22938688,166427,True,
